,player_name,B,S
0,"Arias, Gabriel",12.0,9.0
1,"Bell, Josh",28.0,26.0
2,"Brennan, Will",14.0,15.0
3,"Calhoun, Kole",1.0,
4,"Freeman, Tyler",5.0,2.0
5,"Fry, David",4.0,6.0
6,"Gallagher, Cam",7.0,4.0
7,"Giménez, Andrés",21.0,25.0
8,"Gonzalez, Oscar",5.0,6.0
9,"Kwan, Steven",49.0,42.0
10,"Laureano, Ramón",1.0,1.0
11,"Naylor, Bo",4.0,13.0
12,"Naylor, Josh",8.0,18.0
13,"Ramírez, José",33.0,30.0
14,"Rocchio, Brayan",5.0,1.0
15,"Rosario, Amed",21.0,15.0
16,"Straw, Myles",29.0,40.0
17,"Tena, José",1.0,2.0
18,"Viloria, Meibrys",,2.0
19,"Zunino, Mike",12.0,23.0
