,player_name,B,S,ball,called_strike
0,"Arias, Gabriel",12.0,9.0,275,102
1,"Bell, Josh",28.0,26.0,562,203
2,"Brennan, Will",14.0,15.0,317,160
3,"Calhoun, Kole",1.0,0.0,31,14
4,"Freeman, Tyler",5.0,2.0,118,63
5,"Fry, David",4.0,6.0,91,41
6,"Gallagher, Cam",7.0,4.0,141,77
7,"Giménez, Andrés",21.0,25.0,506,233
8,"Gonzalez, Oscar",5.0,6.0,123,62
9,"Kwan, Steven",49.0,42.0,723,465
10,"Laureano, Ramón",1.0,1.0,20,7
11,"Naylor, Bo",4.0,13.0,188,77
12,"Naylor, Josh",8.0,18.0,396,136
13,"Ramírez, José",33.0,30.0,693,282
14,"Rocchio, Brayan",5.0,1.0,51,32
15,"Rosario, Amed",21.0,15.0,445,223
16,"Straw, Myles",29.0,40.0,519,345
17,"Tena, José",1.0,2.0,10,4
18,"Viloria, Meibrys",0.0,2.0,7,1
19,"Zunino, Mike",12.0,23.0,212,99
